Ba(AsO₄)₂|barium arsenate
BaB₆|barium hexaboride
BaBr₂|barium bromide
Ba(BrO)₂|barium hypobromite
Ba(BrO₂)₂|barium bromite
Ba(BrO₃)₂|barium bromate
Ba(BrO₃)₂·H₂O|barium bromate monohydrate
Ba(BrO₃)₂·₂H₂O|barium bromate dihydrate
Ba(BrO₄)₂|barium perbromate
Ba(BrO₄)₂·₃H₂O|barium perbromate trihydrate
Ba(BrO₄)₂·₄H₂O|barium perbromate tetrahydrate
Ba(CHO₂)₂|barium formate
Ba(C₂H₃O₂)₂|barium acetate
Ba(CN)₂|barium cyanide
BaHfO₃|barium hafnate
BaHgI₄|barium tetraiodomercurate(II)
Ba(HS)₂|barium hydrosulfide
BaI₂|barium iodide
Ba(IO)₂|barium hypoiodite
Ba(IO₂)₂|barium iodite
Ba(IO₃)₂|barium iodate
Ba(IO₄)₂|barium periodate
BaK₂(CrO₄)₂|barium potassium chromate
BaMnO₄|barium manganate
Ba(MnO₄)₂|barium permanganate
BaMoO₄|barium molybdate
BaN₆|barium azide
Ba(NO₂)₂|barium nitrite
Ba(NO₃)₂|barium nitrate
Ba(NbO₃)₂|barium niobate
BaNb₂O₆|barium metaniobate
BaO|barium oxide
Ba(OH)₂|barium hydroxide
BaO₂|barium peroxide
Ba(PO₃)₂|barium metaphosphate
BaS|barium sulfide
Ba(SCN)₂|barium thiocyanate
BaS₂O₃|barium thiosulfate
BaSiF₆|barium hexafluorosilicate
BaSO₃|barium sulfite
BaSO₄|barium sulfate
BaSe|barium selenide
Ba(SeCN)₂|barium selenocyanate
BaSeO₃|barium selenite
BaSeO₄|barium selenate
BaSiO₃|barium metasilicate
BaSi₂|barium silicide
BaSi₂O₅|barium disilicate
BaSnO₃|barium stannate
BaTeO₃|barium tellurite
BaTeO₄·₃H₂O|barium tellurate trihydrate
BaTiO₃|barium titanate
BaU₂O₇|barium uranium oxide
BaWO₄|barium tungstate
BaZrO₃|barium zirconate
Ba₂Na(NbO₃)₅|barium sodium niobate
Ba₂P₂O₇|barium pyrophosphate
Ba₂V₂O₇|barium pyrovanadate
Ba₂XeO₆|barium perxenate
Ba₃(CrO₄)₂|barium chromate(V)
Ba₃N₂|barium nitride
Ba₃(PO₄)₂|barium orthophosphate
Ba₃(VO₄)₂|barium orthovandate
BeB₂|beryllium boride
Be(BH₄)₂|beryllium borohydride
BeBr₂|beryllium bromide
Be(CHO₂)₂|beryllium formate
BeCO₃|beryllium carbonate
Be(C₂H₃O₂)₂|beryllium acetate
Be(C₅H₇O₂)₂|beryllium acetylacetonate
BeCl₂|beryllium chloride
Be(ClO)₂|beryllium hypochlorite
Be(ClO₃)₂|beryllium chlorate
Be(ClO₄)₂|beryllium perchlorate
BeF₂|beryllium fluoride
BeI₂|beryllium iodide
Be(NO₂)₂|beryllium nitrite
Be(NO₃)₂|beryllium nitrate
BeO|beryllium oxide
Be(OH)₂|beryllium hydroxide
BeS|beryllium sulfide
BeSO₃|beryllium sulfite
BeSO₄|beryllium sulfate
Be₂C|beryllium carbide
Be₃Al₂(SiO₃)₆|beryl
Be₃N₂|beryllium nitride
BiBO₃|bismuth(III) orthoborate
BiBr₃|bismuth(III) bromide
Bi(C₂H₃O₂)₃|bismuth(III) acetate
BiC₆H₅O₇|bismuth(III) citrate
BiCl₃|bismuth(III) chloride
BiF₃|bismuth(III) fluoride
BiI₃|bismuth(III) iodide
Bi(NO₃)₃·₅H₂O|bismuth(III) nitrate pentahydrate
BiOCl|bismuth(III) oxychloride
BiOI|bismuth(III) oxyiodide
(BiO)₂CO₃|bismuth oxycarbonate
BiPO₄|bismuth(III) orthophosphate
Bi(VO₃)₅|bismuth(III) metavanadate
Bi₂Se₃|bismuth(III) selenide
Bi₂(MoO₄)₃|bismuth(III) molybdate
Bi₂O₃|bismuth(III) oxide
Bi₂S₃|bismuth(III) sulfide
Bi₂Se₃|bismuth(III) selenide
BrCl|bromine chloride
BrCl₃|bromine trichloride
BrCl₅|bromine pentachloride
BrF|bromine monofluoride
BrF₃|bromine trifluoride
BrF₅|bromine pentafluoride
BrI|iodine monobromide
BrO₃−|bromate ion
Br₂|bromine
Br₂O₅|dibromine pentoxide
Br₃-|tribromide ion
Br₅-|pentabromide ion
|C C2 C3 C4 C5 H C7 C8 C9 C10 C15 C20
CAgO|carbonylsilver
CCl₂F₂|dichlorodifluoromethane
CCl₄|carbon tetrachloride
C(CN)₄|tetracyanomethane
CFCl₃|trichlorofluoromethane
CFCl₂CF₂Cl|chlorotrifluoromethane
CHCl₃|chloroform
CHClF₂|chlorodifluoromethane
CH(CN)₃|cyanoform
CHNO|isocyanic acid
CHN₃O₆|trinitromethane
CHO₂−|formate ion
CH₂|methylene
CH₂Ag|carbene silver
CH₂CHCHCH₂|1,3-butadiene
CH₂CO|ketene
CH₂CHOH|ethenol
CH₂ClCOOH|chloroacetic acid
CH₂Cl₂|dichloromethane
CH₂ClF|chlorofluoromethane
CH₂(CN)₂|malononitrile
CH₂O|formaldehyde
CH₂(OH)₂|methanediol
